occupation_code,occupation_name,task_id,task_description,weight_category,weight_percentage,substitutivity_01,augmentation_01,complementarity_01,substitutivity_5,augmentation_5,complementarity_5,justification
1-02-01-00,国家权力机关负责人,T001,主持立法审议会议,Primary,0.12,0.15,0.45,0.85,2,3,4,会议主持涉及复杂的现场秩序维护、突发状况应对及政治权威的行使，AI 无法替代现场权威与情感互动，但可辅助流程控制。
1-02-01-00,国家权力机关负责人,T002,裁决重大法律争议,Primary,0.12,0.1,0.3,0.9,1,2,5,法律裁决需基于宪法精神与政治伦理的价值判断，涉及不可量化的责任归属，AI 仅能提供法条检索支持，无法承担最终裁决责任。
1-02-01-00,国家权力机关负责人,T003,协调多方利益诉求,Primary,0.12,0.05,0.4,0.95,1,3,5,协调涉及深层的人际信任构建、情感共鸣及政治妥协艺术，高度依赖人类特有的社会直觉与道德判断，AI 难以模拟真实信任关系。
1-02-01-00,国家权力机关负责人,T004,制定战略规划方案,Primary,0.12,0.2,0.65,0.8,2,4,4,战略规划需结合宏观数据与政治愿景，AI 可高效处理数据模拟与情景推演，但战略方向的确立仍需人类决策者主导。
1-02-01-00,国家权力机关负责人,T005,签署法定行政文件,Primary,0.12,0.1,0.2,0.9,1,2,5,签署行为具有强烈的法律象征意义与政治责任属性，AI 无法承担法律责任，仅能辅助文件流转与格式校对。
1-02-01-00,国家权力机关负责人,T006,检索法律条文依据,Secondary,0.1,0.95,0.98,0.1,5,5,1,法律条文检索是典型的文本处理任务，GenAI 可瞬间完成高精度检索与比对，几乎可完全替代人工查找。
1-02-01-00,国家权力机关负责人,T007,整理会议记录档案,Secondary,0.1,0.9,0.85,0.15,5,4,2,会议记录整理涉及语音转写、摘要生成与归档，AI 技术已高度成熟，可显著提升效率且无需人类深度介入。
1-02-01-00,国家权力机关负责人,T008,分析政策执行数据,Secondary,0.1,0.85,0.9,0.2,4,5,2,数据清洗、统计分析与可视化呈现属于强计算任务，AI 在数据处理速度与准确性上远超人类，可独立执行。
1-02-01-00,国家权力机关负责人,T009,维护办公设备运行,Ancillary,0.05,0.95,0.1,0.05,5,1,1,设备维护属于常规行政后勤事务，可由自动化系统或外包服务完全接管，对核心决策无影响。
1-02-01-00,国家权力机关负责人,T010,归档历史立法文献,Ancillary,0.05,0.98,0.8,0.05,5,4,1,文献归档是标准化的物理或数字存储操作，AI 可自动化完成分类与索引，无需人类认知参与。
1-02-02-00,国家行政机关负责人,T001,制定区域公共政策战略,Primary,0.12,0.15,0.4,0.85,2,3,4,政策制定涉及复杂的价值判断、政治博弈和伦理责任，AI 无法独立承担最终决策责任，但可辅助数据模拟。
1-02-02-00,国家行政机关负责人,T002,指挥调度行政团队执行,Primary,0.12,0.1,0.3,0.9,1,2,5,领导指挥依赖人际信任、权威构建和情境感知，AI 无法替代人类领导者的情感动员和危机时刻的决断力。
1-02-02-00,国家行政机关负责人,T003,主持关键行政会议决策,Primary,0.12,0.2,0.5,0.8,2,3,4,会议主持涉及实时互动、情绪管理和非正式沟通，AI 可作为记录或流程助手，但无法主导会议氛围和最终共识。
1-02-02-00,国家行政机关负责人,T004,审核签发法定行政公文,Primary,0.12,0.35,0.75,0.65,2,4,4,公文处理高度依赖语言规范，AI 在语法纠错、格式审查和初稿生成上效率极高，但法律责任需人类确认。
1-02-02-00,国家行政机关负责人,T005,解释执行行政法律法规,Primary,0.12,0.25,0.6,0.75,2,3,4,法律解释需结合具体社会情境和自由裁量权，AI 可提供法条检索，但无法替代人类对法律精神的动态把握。
1-02-02-00,国家行政机关负责人,T006,协调跨部门资源冲突,Secondary,0.1,0.1,0.4,0.9,1,3,5,资源协调涉及复杂的利益平衡和人际谈判，AI 无法处理非结构化的人际冲突和隐性利益交换。
1-02-02-00,国家行政机关负责人,T007,撰写年度行政工作报告,Secondary,0.1,0.45,0.8,0.55,3,4,3,报告撰写属于高语言依赖任务，AI 可快速生成草稿、整合数据和优化修辞，人类仅需进行事实核对和立场校准。
1-02-02-00,国家行政机关负责人,T008,处理突发公共危机事件,Secondary,0.1,0.05,0.35,0.95,1,2,5,危机处理要求极高的心理承受力、直觉判断和现场指挥，AI 无法在信息不全且高压环境下承担核心指挥角色。
1-02-02-00,国家行政机关负责人,T009,归档管理行政历史档案,Ancillary,0.05,0.85,0.9,0.15,4,5,2,档案归档是标准化、重复性高的事务性工作，AI 可完全自动化完成分类、索引和存储，人类仅需抽检。
1-02-02-00,国家行政机关负责人,T010,维护行政机构日常秩序,Ancillary,0.05,0.6,0.5,0.4,3,3,3,日常秩序维护涉及常规流程监控，AI 可通过物联网和规则引擎实现大部分自动化监控，人类处理例外情况。
1-02-03-00,人民政协机关负责人,T001,制定统一战线理论宣传与教育计划,Primary,0.12,0.15,0.75,0.8,2,4,4,理论制定需高度政治把握，AI 无法独立承担政治责任，但可辅助资料检索与方案草拟。
1-02-03-00,人民政协机关负责人,T002,组织政协全体会议与专题协商会议,Primary,0.12,0.1,0.65,0.85,1,4,4,会议组织涉及复杂的人际协调与突发状况处理，AI 无法替代现场决策与情感安抚。
1-02-03-00,人民政协机关负责人,T003,协调各方关系以化解政治分歧,Primary,0.12,0.05,0.4,0.95,1,3,5,涉及深层情感互动与信任构建，AI 完全无法替代人类在敏感政治关系中的调解作用。
1-02-03-00,人民政协机关负责人,T004,撰写政协章程执行报告与政策建议,Primary,0.12,0.45,0.85,0.6,3,4,3,文案工作高度依赖语言生成，AI 可大幅提升效率，但核心观点需人工政治把关。
1-02-03-00,人民政协机关负责人,T005,评估协商成果并调整后续工作策略,Primary,0.12,0.1,0.55,0.9,1,3,5,策略调整需基于对政治生态的直觉判断，AI 仅能提供数据支持，无法进行战略决策。
1-02-03-00,人民政协机关负责人,T006,管理机关日常行政事务与档案归档,Secondary,0.1,0.8,0.9,0.3,4,5,2,常规行政与档案管理属于标准化流程，AI 可高度自动化接管，仅需人工抽检。
1-02-03-00,人民政协机关负责人,T007,处理信访接待与群众诉求记录,Secondary,0.1,0.3,0.7,0.75,2,4,4,AI 可辅助记录与分类，但面对情绪化诉求需人工介入以建立信任与安抚情绪。
1-02-03-00,人民政协机关负责人,T008,维护内部沟通渠道与团队协作氛围,Secondary,0.1,0.2,0.5,0.8,2,3,4,团队氛围维护依赖非语言信号与情感共鸣，AI 无法替代人际互动的微妙性。
1-02-03-00,人民政协机关负责人,T009,整理会议记录与生成会议纪要,Ancillary,0.05,0.9,0.95,0.2,5,5,2,纯文本转录与摘要生成是 AI 最擅长的领域，几乎可完全替代人工操作。
1-02-03-00,人民政协机关负责人,T010,执行基础数据录入与报表统计,Ancillary,0.05,0.95,0.98,0.1,5,5,1,数据录入与统计属于低认知重复劳动，AI 可全自动完成且准确率极高。
1-02-04-00,监察机关负责人,T001,主持案件审理与定性量纪,Primary,0.12,0.15,0.45,0.85,2,3,4,涉及政治责任与法律裁量，AI无法承担最终决策责任，但可辅助证据链梳理。
1-02-04-00,监察机关负责人,T002,统筹监督执纪与廉政建设规划,Primary,0.12,0.1,0.5,0.9,1,3,5,需结合政治生态与组织文化进行战略决策，AI仅能提供数据支持，无法替代政治判断。
1-02-04-00,监察机关负责人,T003,组织调查取证与线索核查,Primary,0.12,0.3,0.75,0.7,2,4,4,AI可高效处理数据比对与痕迹分析，但现场询问与心理博弈仍需人工主导。
1-02-04-00,监察机关负责人,T004,解读党纪党规与监察法条,Primary,0.12,0.6,0.8,0.4,3,4,3,法律条文检索与逻辑推演高度依赖语言模型，但适用性解释需结合具体案情。
1-02-04-00,监察机关负责人,T005,应对突发舆情与高压谈判,Primary,0.12,0.05,0.3,0.95,1,2,5,涉及复杂的人际情感互动与信任构建，AI无法模拟人类权威与道德感召力。
1-02-04-00,监察机关负责人,T006,撰写监察报告与案件卷宗,Secondary,0.1,0.7,0.85,0.3,4,4,2,文本生成与格式化工作可被GenAI高度替代，仅需人工审核事实准确性。
1-02-04-00,监察机关负责人,T007,维护廉政档案与数据归档,Secondary,0.1,0.85,0.6,0.2,4,3,2,结构化数据的存储与检索属于典型的高自动化任务，AI可独立完成。
1-02-04-00,监察机关负责人,T008,协调跨部门协作与会议组织,Secondary,0.1,0.4,0.55,0.6,3,3,3,日程安排可自动化，但利益协调与人际斡旋仍需人类介入。
1-02-04-00,监察机关负责人,T009,整理会议纪要与行政文书,Ancillary,0.05,0.9,0.7,0.15,5,4,2,纯文本记录与整理工作极易被AI自动化接管，几乎无替代障碍。
1-02-04-00,监察机关负责人,T010,执行保密管理与信息安全审计,Ancillary,0.05,0.5,0.65,0.5,3,4,3,AI可辅助漏洞扫描，但保密责任主体与最终审计结论必须由人类承担。
1-02-05-01,人民法院负责人,T001,主持重大疑难案件审判会议,Primary,0.12,0.15,0.45,0.85,2,3,4,涉及复杂的自由裁量权行使、社会价值判断及司法责任归属，AI 无法独立承担法律责任，但可提供类案检索辅助。
1-02-05-01,人民法院负责人,T002,制定法院年度审判管理规划,Primary,0.12,0.2,0.75,0.8,2,4,4,基于历史数据预测案件趋势和资源配置属于高 Augmentation 领域，但涉及政治考量和司法政策导向的决策需人类主导。
1-02-05-01,人民法院负责人,T003,签发具有法律效力的司法裁判文书,Primary,0.12,0.1,0.5,0.9,1,3,5,文书生成可高度自动化，但签发行为代表国家司法权，必须保留人类最终确认以确立法律效力和责任主体。
1-02-05-01,人民法院负责人,T004,协调处理重大社会矛盾引发的信访案件,Primary,0.12,0.05,0.3,0.95,1,2,5,高度依赖情感互动、信任构建和现场危机控制，AI 缺乏同理心和政治敏锐度，几乎无法替代。
1-02-05-01,人民法院负责人,T005,监督全院法官审判质量与司法作风,Primary,0.12,0.1,0.6,0.8,1,3,4,AI 可辅助数据分析发现异常，但最终的问责、纪律处分及职业道德评价必须由人类行使。
1-02-05-01,人民法院负责人,T006,审核并批准法院内部行政预算方案,Secondary,0.1,0.4,0.7,0.6,3,4,3,预算编制和合规性检查可高度自动化，但涉及资源分配的政治优先级和战略取舍需人类决策。
1-02-05-01,人民法院负责人,T007,解释法律法规在特定辖区的适用标准,Secondary,0.1,0.3,0.65,0.7,2,4,4,法律解释涉及立法原意与社会现实的平衡，AI 可提供参考意见，但权威性解释权属于人类法官。
1-02-05-01,人民法院负责人,T008,组织全院法官业务技能培训与考核,Secondary,0.1,0.35,0.55,0.65,2,3,4,培训内容和流程管理可数字化，但师资选拔、教学互动及效果评估需人际互动。
1-02-05-01,人民法院负责人,T009,归档并管理历史司法卷宗数据,Ancillary,0.05,0.85,0.9,0.4,4,5,3,纯数据整理与存储任务，AI 可完全接管，人类仅需进行极低频次的抽检。
1-02-05-01,人民法院负责人,T010,撰写法院年度工作报告与司法白皮书,Ancillary,0.05,0.5,0.8,0.5,3,4,3,文本生成与数据可视化可高度自动化，但核心观点提炼、政策导向把握需人类把关。
1-02-05-02,人民检察院负责人,T001,审查重大刑事案件证据链,Primary,0.12,0.35,0.75,0.65,2,4,4,AI 可辅助证据比对和逻辑漏洞检测，但最终法律定性需人类基于自由心证和司法伦理做出裁决。
1-02-05-02,人民检察院负责人,T002,主持重大案件检察委员会会议,Primary,0.12,0.15,0.4,0.85,2,3,4,会议涉及多方利益博弈、情感安抚及政治责任承担，AI 无法替代人类主持者的权威与决断力。
1-02-05-02,人民检察院负责人,T003,制定全院法律监督战略规划,Primary,0.12,0.2,0.5,0.8,2,3,4,战略规划需结合政治导向、社会舆情与法律实效，AI 可提供数据支持但无法确立价值导向。
1-02-05-02,人民检察院负责人,T004,签署关键法律文书与起诉书,Primary,0.12,0.1,0.6,0.9,1,3,5,文书生成可高度自动化，但签字确认代表国家公权力与法律责任，必须由人类行使。
1-02-05-02,人民检察院负责人,T005,管理检察队伍绩效与纪律,Primary,0.12,0.25,0.55,0.75,2,3,4,人员管理涉及复杂的组织行为学判断与情感激励，AI 难以处理非结构化的人际冲突。
1-02-05-02,人民检察院负责人,T006,处理突发公共法律舆情事件,Secondary,0.1,0.3,0.7,0.7,2,4,4,AI 可快速生成舆情分析报告，但危机公关中的立场表态与情感共鸣需人类主导。
1-02-05-02,人民检察院负责人,T007,审核下级检察院办案质量,Secondary,0.1,0.4,0.65,0.6,3,4,3,AI 可识别程序性错误，但实质正义的把握和自由裁量权的监督需人类经验。
1-02-05-02,人民检察院负责人,T008,协调跨部门司法协作机制,Secondary,0.1,0.2,0.45,0.8,2,3,4,跨部门协调依赖人际信任网络与政治智慧，AI 无法建立深层的互信关系。
1-02-05-02,人民检察院负责人,T009,归档与数字化管理检察卷宗,Ancillary,0.05,0.85,0.9,0.3,4,5,2,纯文档处理与存储任务，AI 可完全接管且效率远超人工，仅需人类抽检。
1-02-05-02,人民检察院负责人,T010,撰写年度检察工作报告,Ancillary,0.05,0.6,0.8,0.5,3,4,3,AI 可基于数据生成报告初稿，但核心观点提炼与政治表述需人类修正。
1-03-00-01,民主党派负责人,T001,制定统一战线政策执行方案,Primary,0.12,0.15,0.75,0.85,2,4,4,政策制定需高度政治把握与历史经验，AI 无法独立承担政治责任，但可辅助数据推演。
1-03-00-01,民主党派负责人,T002,主持政治协商会议与对话,Primary,0.12,0.05,0.4,0.95,1,3,5,协商过程依赖人际信任、情感共鸣及现场即兴应对，AI 无法替代人类的情感互动与信任构建。
1-03-00-01,民主党派负责人,T003,规划民主党派组织建设架构,Primary,0.12,0.1,0.65,0.8,1,4,4,组织人事安排涉及复杂的政治考量与人际平衡，AI 可优化流程但无法决策核心人事。
1-03-00-01,民主党派负责人,T004,撰写参政议政政策研究报告,Primary,0.12,0.6,0.9,0.7,3,5,4,报告撰写高度依赖语言生成与资料整合，GenAI 可大幅提升效率，但核心观点需人工把关。
1-03-00-01,民主党派负责人,T005,协调多方利益关系与矛盾化解,Primary,0.12,0.02,0.3,0.98,1,2,5,矛盾化解依赖深层情感洞察与政治智慧，属于高信任度社交劳动，AI 几乎无法介入。
1-03-00-01,民主党派负责人,T006,整理民主党派历史档案资料,Secondary,0.1,0.85,0.95,0.4,4,5,3,档案整理为标准化信息处理任务，AI 可完全接管检索与分类工作，仅需人工抽检。
1-03-00-01,民主党派负责人,T007,监测社会舆情与政策反馈,Secondary,0.1,0.7,0.8,0.6,4,4,3,舆情监测依赖大数据分析与文本挖掘，AI 在数据抓取与初步分析上具有显著优势。
1-03-00-01,民主党派负责人,T008,组织内部成员教育培训活动,Secondary,0.1,0.4,0.7,0.75,3,4,4,培训课件制作可由 AI 辅助，但现场教学互动与思想引导仍需人类主导。
1-03-00-01,民主党派负责人,T009,归档会议记录与行政文书,Ancillary,0.05,0.9,0.95,0.3,5,5,2,行政文书归档为低认知重复性劳动，AI 可全自动完成分类存储与检索。
1-03-00-01,民主党派负责人,T010,维护外部联络渠道与关系网络,Ancillary,0.05,0.1,0.5,0.9,1,3,5,关系维护依赖长期情感积累与信任，AI 仅能辅助提醒，无法替代人际互动本身。
1-03-00-02,工商联负责人,T001,制定商会年度战略规划与政策执行方案,Primary,0.12,0.15,0.75,0.85,2,4,4,战略规划需结合政治敏感性与组织愿景，AI 无法独立承担政治责任，但可辅助数据推演。
1-03-00-02,工商联负责人,T002,主持政企对话会议并协调多方利益诉求,Primary,0.12,0.1,0.6,0.9,1,3,5,涉及复杂的情感互动与信任构建，AI 无法替代人类主持人的现场控场与情感共鸣能力。
1-03-00-02,工商联负责人,T003,解读宏观经济政策并转化为企业服务指南,Primary,0.12,0.45,0.8,0.7,3,4,4,政策文本处理与翻译高度依赖语言模型，但政策落地的具体情境判断仍需人工介入。
1-03-00-02,工商联负责人,T004,整合政府、企业与行业协会资源以推动项目落地,Primary,0.12,0.2,0.55,0.8,2,3,4,资源整合依赖人际网络与隐性信任，AI 仅能作为信息撮合工具，无法建立深层关系。
1-03-00-02,工商联负责人,T005,评估商会运营绩效并优化管理流程,Primary,0.12,0.35,0.7,0.65,2,4,4,绩效数据分析可高度自动化，但基于数据的决策调整需结合组织文化进行人工校准。
1-03-00-02,工商联负责人,T006,处理会员企业日常咨询与纠纷调解,Secondary,0.1,0.5,0.65,0.5,3,4,3,常规咨询可由 AI 自动回复，但涉及情感纠纷的调解仍需人类介入以维持公信力。
1-03-00-02,工商联负责人,T007,撰写商会工作报告与政策建议文件,Secondary,0.1,0.6,0.85,0.4,3,4,3,公文写作与数据整理是 GenAI 的高强领域，AI 可大幅提升初稿生成效率。
1-03-00-02,工商联负责人,T008,维护商会会员档案与基础信息数据库,Secondary,0.1,0.8,0.7,0.3,4,4,2,数据录入与检索属于标准化操作，AI 可完全接管并实现实时更新。
1-03-00-02,工商联负责人,T009,组织商会内部培训与会员交流活动,Ancillary,0.05,0.4,0.6,0.6,3,3,3,活动流程安排可自动化，但现场互动氛围营造与突发状况处理依赖人工。
1-03-00-02,工商联负责人,T010,审核商会财务收支与合规性报告,Ancillary,0.05,0.7,0.75,0.4,4,4,3,财务合规性检查可借助算法快速筛查异常，但最终签字确认需人类承担法律责任。
